date,gld,slv,gld_idx,slv_idx
2023-01-03,171.06,22.05,100.0,100.0
2023-01-04,172.67,21.89,100.9411902256518,99.27437641723355
2023-01-05,170.52,21.39,99.68432129077517,97.00680272108843
2023-01-06,173.71,21.92,101.54916403601075,99.41043083900227
2023-01-09,174.1,21.74,101.77715421489535,98.59410430839
2023-01-10,174.74,21.73,102.15129194434702,98.54875283446712
2023-01-11,174.62,21.55,102.08114112007482,97.73242630385488
2023-01-12,176.64,21.88,103.26201332865661,99.22902494331065
2023-01-13,178.76,22.33,104.5013445574652,101.26984126984127
2023-01-17,177.59,22.01,103.81737402081141,99.81859410430839
2023-01-18,177.08,21.57,103.51923301765463,97.82312925170068
2023-01-19,179.89,21.96,105.16193148602828,99.59183673469389
2023-01-20,179.29,22.02,104.81117736466736,99.86394557823128
2023-01-23,179.63,21.58,105.00993803343857,97.86848072562357
2023-01-24,180.28,21.76,105.3899216649129,98.68480725623583
2023-01-25,181.11,21.97,105.8751315327955,99.63718820861676
2023-01-26,179.47,21.99,104.91640360107564,99.72789115646258
2023-01-27,179.22,21.68,104.77025605050858,98.3219954648526
2023-01-30,178.76,21.66,104.5013445574652,98.23129251700679
2023-01-31,179.41,21.83,104.88132818893956,99.00226757369613
2023-02-01,181.67,22.08,106.20250204606569,100.13605442176869
2023-02-02,177.9,21.57,103.99859698351457,97.82312925170068
2023-02-03,173.46,20.57,101.4030164854437,93.28798185941042
2023-02-06,173.82,20.48,101.61346895826024,92.87981859410431
2023-02-07,173.98,20.38,101.70700339062317,92.42630385487529
2023-02-08,174.41,20.48,101.9583771775985,92.87981859410431
2023-02-09,173.03,20.18,101.15164269846836,91.51927437641723
2023-02-10,173.36,20.24,101.3445574652169,91.79138321995464
2023-02-13,172.48,20.2,100.83011808722084,91.60997732426304
2023-02-14,172.61,20.12,100.90611481351573,91.24716553287982
2023-02-15,170.89,19.89,99.9006196656144,90.20408163265307
2023-02-16,170.75,19.84,99.81877703729685,89.97732426303855
2023-02-17,171.26,20.01,100.11691804045364,90.74829931972789
2023-02-21,170.62,20.07,99.742780311002,91.02040816326532
2023-02-22,169.66,19.75,99.1815737168245,89.56916099773242
2023-02-23,169.57,19.63,99.12896059862037,89.02494331065759
2023-02-24,168.35,19.09,98.41576055185315,86.57596371882086
2023-02-27,169.01,18.93,98.80159008535017,85.85034013605441
2023-02-28,169.78,19.22,99.25172454109669,87.16553287981858
2023-03-01,170.76,19.29,99.82462293931953,87.4829931972789
2023-03-02,170.66,19.24,99.7661639190927,87.25623582766438
2023-03-03,172.49,19.55,100.83596398924355,88.66213151927438
2023-03-06,171.62,19.32,100.32737051327021,87.61904761904762
2023-03-07,168.62,18.45,98.57359990646557,83.67346938775509
2023-03-08,168.54,18.4,98.52683269028411,83.44671201814057
2023-03-09,170.2,18.44,99.49725242604933,83.6281179138322
2023-03-10,173.87,18.86,101.64269846837368,85.5328798185941
2023-03-13,177.86,20.0,103.97521337542383,90.70294784580499
2023-03-14,176.83,19.89,103.37308546708756,90.20408163265307
2023-03-15,178.21,20.0,104.1798199462177,90.70294784580499
2023-03-16,178.57,19.92,104.39027241903425,90.34013605442178
2023-03-17,183.77,20.63,107.43014147082894,93.56009070294785
2023-03-20,183.84,20.69,107.47106278498772,93.83219954648526
2023-03-21,180.37,20.54,105.44253478311703,93.15192743764172
2023-03-22,183.44,21.1,107.23722670408044,95.69160997732426
2023-03-23,185.74,21.28,108.58178416929734,96.5079365079365
2023-03-24,183.65,21.22,107.35999064655677,96.23582766439908
2023-03-27,181.95,21.22,106.3661873027008,96.23582766439908
2023-03-28,183.44,21.43,107.23722670408044,97.18820861678003
2023-03-29,182.53,21.44,106.70524962001637,97.23356009070295
2023-03-30,184.18,21.94,107.66982345375892,99.50113378684807
2023-03-31,183.22,22.12,107.10861685958145,100.31746031746032
2023-04-03,184.54,22.06,107.88027592657548,100.04535147392288
2023-04-04,187.98,22.97,109.8912662223781,104.17233560090702
2023-04-05,187.83,22.94,109.80357769203788,104.03628117913833
2023-04-06,186.49,22.89,109.02022682099847,103.80952380952382
2023-04-10,185.11,22.88,108.21349234186837,103.76417233560089
2023-04-11,186.28,23.04,108.89746287852216,104.48979591836734
2023-04-12,187.19,23.43,109.42943996258623,106.25850340136054
2023-04-13,189.72,23.74,110.9084531743248,107.66439909297051
2023-04-14,186.36,23.31,108.94423009470361,105.7142857142857
2023-04-17,185.53,23.02,108.459020226821,104.39909297052155
2023-04-18,186.25,23.15,108.87992517245411,104.98866213151928
2023-04-19,185.36,23.23,108.3596398924354,105.3514739229025
2023-04-20,186.09,23.17,108.78639074009119,105.07936507936509
2023-04-21,184.25,22.98,107.71074476791769,104.21768707482993
2023-04-24,184.81,23.08,108.0381152811879,104.67120181405896
2023-04-25,185.75,22.99,108.58763007131999,104.26303854875283
2023-04-26,184.74,22.83,107.99719396702912,103.53741496598639
2023-04-27,184.75,22.89,108.0030398690518,103.80952380952382
2023-04-28,184.8,23.0,108.03226937916521,104.30839002267574
2023-05-01,183.97,22.89,107.54705951128258,103.80952380952382
2023-05-02,187.52,23.35,109.62235472933475,105.89569160997733
2023-05-03,189.11,23.43,110.5518531509412,106.25850340136054
2023-05-04,190.44,23.94,111.3293581199579,108.57142857142857
2023-05-05,187.46,23.57,109.58727931719865,106.89342403628117
2023-05-08,187.69,23.49,109.72173506372033,106.53061224489795
2023-05-09,189.02,23.48,110.49924003273705,106.48526077097506
2023-05-10,188.75,23.31,110.34140067812463,105.7142857142857
2023-05-11,187.13,22.2,109.39436455045013,100.68027210884354
2023-05-12,186.81,22.02,109.20729568572432,99.86394557823128
2023-05-15,187.21,22.1,109.4411317666316,100.2267573696145
2023-05-16,184.87,21.81,108.07319069332397,98.91156462585033
2023-05-17,184.23,21.82,107.69905296387232,98.95691609977324
2023-05-18,181.84,21.56,106.3018823804513,97.77777777777776
2023-05-19,183.64,21.86,107.35414474453407,99.13832199546485
2023-05-22,183.21,21.67,107.10277095755876,98.27664399092971
2023-05-23,183.43,21.51,107.23138080205776,97.55102040816327
2023-05-24,181.95,21.16,106.3661873027008,95.96371882086167
2023-05-25,180.2,20.86,105.34315444873144,94.6031746031746
2023-05-26,180.92,21.38,105.76405939436455,96.96145124716551
2023-05-30,182.04,21.3,106.41880042090494,96.5986394557823
2023-05-31,182.32,21.61,106.58248567754003,98.00453514739228
2023-06-01,183.76,21.95,107.42429556880626,99.54648526077096
2023-06-02,181.05,21.69,105.84005612065943,98.36734693877551
2023-06-05,182.14,21.64,106.47725944113175,98.140589569161
2023-06-06,182.34,21.65,106.59417748158542,98.18594104308389
2023-06-07,180.15,21.51,105.31392493861802,97.55102040816327
2023-06-08,182.53,22.3,106.70524962001637,101.13378684807257
2023-06-09,182.04,22.27,106.41880042090494,100.99773242630386
2023-06-12,181.88,22.08,106.32526598854201,100.13605442176869
2023-06-13,180.54,21.74,105.54191511750261,98.59410430839
2023-06-14,180.64,21.97,105.60037413772945,99.63718820861676
2023-06-15,181.91,21.94,106.34280369461007,99.50113378684807
2023-06-16,181.63,22.18,106.17911843797498,100.58956916099773
2023-06-20,179.75,21.26,105.08008885771073,96.41723356009071
2023-06-21,179.49,20.84,104.92809540512103,94.5124716553288
2023-06-22,177.71,20.53,103.88752484508359,93.10657596371883
2023-06-23,178.2,20.58,104.17397404419502,93.33333333333333
2023-06-26,178.51,20.9,104.35519700689815,94.7845804988662
2023-06-27,177.69,20.98,103.87583304103822,95.14739229024943
2023-06-28,177.28,20.84,103.63615105810825,94.5124716553288
2023-06-29,177.09,20.72,103.5250789196773,93.96825396825396
2023-06-30,178.27,20.89,104.2148953583538,94.7392290249433
2023-07-03,178.47,21.01,104.33181339880744,95.28344671201815
2023-07-05,177.84,21.21,103.96352157137846,96.19047619047619
2023-07-06,177.31,20.83,103.65368876417631,94.46712018140589
2023-07-07,178.64,21.18,104.43119373319303,96.05442176870747
2023-07-10,178.78,21.24,104.51303636151057,96.32653061224488
2023-07-11,179.45,21.2,104.90471179703027,96.14512471655328
2023-07-12,181.88,22.15,106.32526598854201,100.453514739229
2023-07-13,182.01,22.78,106.4012627148369,103.31065759637188
2023-07-14,181.43,22.86,106.06220039752134,103.6734693877551
2023-07-17,181.56,22.79,106.1381971238162,103.35600907029479
2023-07-18,183.64,22.99,107.35414474453407,104.26303854875283
2023-07-19,183.67,23.1,107.37168245060211,104.76190476190477
2023-07-20,182.74,22.68,106.8280135624927,102.85714285714285
2023-07-21,182.18,22.57,106.50064304922249,102.35827664399093
2023-07-24,181.4,22.33,106.0446626914533,101.26984126984127
2023-07-25,182.41,22.62,106.63509879574417,102.58503401360544
2023-07-26,183.3,22.91,107.15538407576291,103.90022675736961
2023-07-27,180.42,22.11,105.47176429323044,100.27210884353741
2023-07-28,181.86,22.32,106.31357418449667,101.22448979591836
2023-07-31,182.35,22.69,106.60002338360808,102.90249433106575
2023-08-01,180.46,22.29,105.49514790132118,101.08843537414964
2023-08-02,179.6,21.75,104.99240032737052,98.63945578231292
2023-08-03,179.54,21.63,104.95732491523442,98.09523809523809
2023-08-04,180.19,21.66,105.33730854670875,98.23129251700679
2023-08-07,179.78,21.21,105.09762656377879,96.19047619047619
2023-08-08,178.64,20.9,104.43119373319303,94.7845804988662
2023-08-09,177.79,20.8,103.93429206126505,94.33106575963718
2023-08-10,177.6,20.83,103.8232199228341,94.46712018140589
2023-08-11,177.6,20.8,103.8232199228341,94.33106575963718
2023-08-14,177.06,20.72,103.50754121360926,93.96825396825396
2023-08-15,176.59,20.67,103.2327838185432,93.74149659863946
2023-08-16,175.57,20.56,102.63650181222962,93.24263038548753
2023-08-17,175.3,20.8,102.4786624576172,94.33106575963718
2023-08-18,175.33,20.87,102.49620016368526,94.6485260770975
2023-08-21,175.81,21.36,102.776803460774,96.87074829931971
2023-08-22,176.1,21.46,102.94633461943177,97.32426303854875
2023-08-23,177.89,22.29,103.99275108149186,101.08843537414964
2023-08-24,177.85,22.11,103.96936747340114,100.27210884353741
2023-08-25,177.62,22.22,103.83491172687947,100.77097505668932
2023-08-28,178.13,22.22,104.13305273003624,100.77097505668932
2023-08-29,179.87,22.71,105.15023968198294,102.99319727891157
2023-08-30,180.32,22.57,105.41330527300362,102.35827664399093
2023-08-31,180.02,22.39,105.23792821232317,101.54195011337868
2023-09-01,180.11,22.17,105.2905413305273,100.54421768707485
2023-09-05,178.64,21.59,104.43119373319303,97.91383219954648
2023-09-06,177.83,21.24,103.95767566935578,96.32653061224488
2023-09-07,178.02,21.05,104.06874780778675,95.46485260770974
2023-09-08,178.08,21.01,104.10382321992284,95.28344671201815
2023-09-11,178.41,21.16,104.29673798667135,95.96371882086167
2023-09-12,177.49,21.13,103.75891500058458,95.82766439909295
2023-09-13,177.08,20.93,103.51923301765463,94.92063492063491
2023-09-14,177.17,20.73,103.57184613585875,94.01360544217687
2023-09-15,178.34,21.11,104.25581667251258,95.73696145124715
2023-09-18,179.39,21.3,104.86963638489416,96.5986394557823
2023-09-19,179.22,21.27,104.77025605050858,96.4625850340136
2023-09-20,179.35,21.34,104.84625277680347,96.78004535147392
2023-09-21,178.05,21.44,104.08628551385479,97.23356009070295
2023-09-22,178.62,21.58,104.41950192914766,97.86848072562357
2023-09-25,177.7,21.2,103.8816789430609,96.14512471655328
2023-09-26,176.28,20.96,103.05156085584007,95.05668934240363
2023-09-27,174.1,20.7,101.77715421489535,93.87755102040816
2023-09-28,173.23,20.74,101.268560738922,94.05895691609977
2023-09-29,171.45,20.34,100.2279901788846,92.24489795918367
2023-10-02,169.65,19.42,99.17572781480183,88.07256235827666
2023-10-03,169.16,19.44,98.8892786156904,88.16326530612245
2023-10-04,169.14,19.31,98.87758681164502,87.57369614512471
2023-10-05,168.83,19.25,98.6963638489419,87.3015873015873
2023-10-06,169.7,19.73,99.20495732491523,89.47845804988663
2023-10-09,172.82,20.06,101.02887875599205,90.9750566893424
2023-10-10,172.53,19.98,100.85934759733426,90.61224489795919
2023-10-11,173.79,20.18,101.59593125219222,91.51927437641723
2023-10-12,173.26,19.96,101.28609844499006,90.52154195011339
2023-10-13,178.83,20.78,104.54226587162401,94.24036281179139
2023-10-16,177.96,20.68,104.03367239565064,93.78684807256235
2023-10-17,178.29,20.92,104.22658716239914,94.87528344671202
2023-10-18,180.87,20.95,105.73482988425114,95.01133786848072
2023-10-19,183.09,21.11,107.03262013328656,95.73696145124715
2023-10-20,183.59,21.4,107.32491523442067,97.05215419501133
2023-10-23,182.97,21.05,106.96246930901438,95.46485260770974
2023-10-24,182.95,21.02,106.95077750496903,95.32879818594104
2023-10-25,183.72,20.94,107.40091196071553,94.96598639455782
2023-10-26,184.01,20.85,107.57044311937332,94.5578231292517
2023-10-27,186.15,21.18,108.8214661522273,96.05442176870747
2023-10-30,185.1,21.34,108.20764643984566,96.78004535147392
2023-10-31,184.09,20.98,107.61721033555477,95.14739229024943
2023-11-01,183.51,20.97,107.27814801823921,95.10204081632652
2023-11-02,184.12,20.87,107.63474804162283,94.6485260770975
