date,close,m2,m2_idx,btc_idx,m2_yoy,ratio
2018-01-31,10236.67506893,13900.3,90.1031302059363,109.64577299124394,,1.2168919408309316
2018-02-28,10412.02400787,13949.3,90.42075309034102,111.52394826044103,,1.2333888454679804
2018-03-31,6955.12451754,14012.7,90.83171821016263,74.49684578644514,,0.8201633444176124
2018-04-30,9240.33567949,14035.9,90.98210292277874,98.97390915057679,,1.0878393219222589
2018-05-31,7504.03858698,14092.4,91.34834155479643,80.37630440403797,,0.8798879436231828
2018-06-30,6376.56485532,14137.2,91.63873962053789,68.29985106320677,,0.745316351425457
2018-07-31,7752.14449181,14174.6,91.88117014863455,83.0337848393939,,0.903708395366228
2018-08-31,7018.26404986,14223.2,92.19620019316658,75.17313792045498,,0.815360478663487
2018-09-30,6619.48081249,14245.5,92.34075101606912,70.90174159079159,,0.767827213994104
2018-10-31,6298.83750111,14256.6,92.4127023225363,67.467307705375,,0.7300653049826683
2018-11-30,4030.04449364,14282.8,92.5825333341976,43.16610039088129,,0.4662445370236682
2018-12-31,3746.12395254,14386.8,93.25667170109742,40.12500677529038,,0.43026419497253193
2019-01-31,3447.81276865,14459.7,93.72921676789547,36.92977393559343,4.02437357467107,0.3940049347370923
2019-02-28,3845.2583128,14506.3,94.03128261306402,41.186842135649854,3.993031908411182,0.43801212735906736
2019-03-31,4202.58839816,14557.5,94.36316611676854,45.01423073189839,3.8879016891819607,0.4770317973031562
2019-04-30,5305.98448213,14594.7,94.60430022492886,56.83278663288666,3.981219586916418,0.6007421068361842
2019-05-31,8606.2786154,14704.4,95.31538656001452,92.18247770974534,4.342766313757762,0.9671311320938035
2019-06-30,10912.25593404,14802.8,95.95322516869663,116.88196889218719,4.708145884616455,1.2181140205208887
2019-07-31,10080.08612115,14886.8,96.49772154196187,107.96853735510116,5.024480408618226,1.1188713643166304
2019-08-31,9609.78764737,14974.4,97.06555347408133,102.93113611427029,5.281511896057145,1.060429085605072
2019-09-30,8269.02868158,15047.0,97.53615391097485,88.57016908063058,5.626338141869369,0.9080752677768299
2019-10-31,9154.92364847,15184.1,98.42484977733987,98.05905465916439,6.50575873630459,0.9962835084940135
2019-11-30,7548.61348304,15296.0,99.15019673172534,80.85374936557017,7.0938471448175555,0.8154673619492596
2019-12-31,7202.62425073,15347.5,99.48402486533438,77.14783347317072,6.677648955987436,0.7754796167284261
2020-01-31,9336.13288471,15427.1,100.0,100.0,6.690318609653034,1.0
2020-02-29,8569.46778472,15493.4,100.42976320889862,91.78819421855505,6.804629712607624,0.9139541037016218
2020-03-31,6431.26241287,16033.0,103.92750419715955,68.8857205899739,10.135668899192861,0.6628247365518533
2020-04-30,8607.32983212,17065.3,110.61897569860828,92.19373736867459,16.928062926952926,0.833435102670495
2020-05-31,9449.86091408,17932.9,116.24284538247629,101.21814921418112,21.956013166127164,0.8707473469110371
2020-06-30,9145.560607,18184.3,117.87244524246294,97.95876643934551,22.843651201124104,0.8310573878215972
2020-07-31,11334.58546549,18335.4,118.8518905043722,121.40557129443725,23.165488889485996,1.0214862445959252
2020-08-31,11655.99869868,18411.2,119.34323366024724,124.84825186849362,22.95116999679454,1.0461276105850992
