ticker,price,return_12m,trailing_pe,forward_pe,p_fcf,avg_5y_pe,rsi
NVDA,221.66,80.21138211382113,44.2863,22.048,55.0015,60.24874554210315,69.8786101018155
MSFT,410.27,-8.67871611093799,24.2909,22.0356,41.7139,33.93855982529157,50.81250193422012
GOOGL,394.15,148.7378518238041,30.2192,28.59902,75.1425,24.109955984725904,76.58652705926858
META,603.65,-5.595608588899481,21.92,18.83666,32.0657,22.521351291831657,40.31164621487678
AVGO,430.55,94.30905316364293,81.5276,29.00786,70.4198,88.0354,66.27308989488924
MU,793.12,759.3780474590963,34.9302,6.40278,81.9184,98.6302,85.83752107776266
AMD,464.335,329.4626341102479,148.1799,43.7464,86.5679,123.07609964703843,81.65416218323611
PLTR,135.05,14.004727334121236,144.7931,96.45705,122.8853,140.0707257101132,43.258687961231956
SOXL,188.6,1000.9924109748979,,,,,79.50652237445819
