date,qqq,btc,qqq_idx,btc_idx,qqq_ret,btc_ret,corr90
2021-05-12,316.89,50482.43448174,100.0,100.0,,,
2021-05-13,319.34,49655.62103388,100.7731389441131,98.36217596011724,0.0077313894411310535,-0.016378240398827515,
2021-05-14,326.39,49884.92,102.99788570166304,98.81639130942442,0.022076783365691854,0.004617784680681858,
2021-05-17,324.41,43590.92217239,102.37306320805328,86.34869260942095,-0.006066362327277086,-0.1261703502302901,
2021-05-18,322.22,43019.77429531,101.68197166209096,85.21731318419417,-0.006750716685675506,-0.013102449973901975,
2021-05-19,322.59,36974.61473537,101.79873142099783,73.24253498262667,0.0011482837812673008,-0.14052048526435534,
2021-05-20,328.83,40389.7781072,103.7678689766165,80.00758783098978,0.019343439040267807,0.09236508334901039,
2021-05-21,327.01,37242.94270459,103.19353718956106,73.77406237819443,-0.005534774807651299,-0.07791167840184388,
2021-05-24,332.51,38619.39710029,104.92915522736597,76.5006630459928,0.016819057521176628,0.03695879798269419,
2021-05-25,332.97,38165.78817562,105.07431600870967,75.60211500779533,0.001383417040089041,-0.011745624187038173,
2021-05-26,334.13,39184.76165413,105.44037363122851,77.6205863611897,0.003483797339099537,0.026698609598239997,
2021-05-27,332.88,38479.69228456,105.04591498627285,76.2239235876758,-0.003741058869302316,-0.01799345816604425,
2021-05-28,333.93,35670.7,105.3772602480356,70.65962718755658,0.0031542898341745396,-0.07299934375221373,
2021-06-01,332.82,36606.39,105.02698097131497,72.513123378075,-0.003324049950588437,0.026231332718449574,
2021-06-02,333.47,37622.43,105.23209946669192,74.52578384191914,0.0019530076317531009,0.02775580984631376,
2021-06-03,330.0,39152.71,104.13708226829499,77.55709565504795,-0.010405733649203941,0.040674671997529055,
2021-06-04,335.6,36908.14,105.90425699769636,73.11085604112465,0.01696969696969708,-0.05732859871002538,
2021-06-07,336.6,33550.00408032,106.21982391366089,66.4587681334096,0.0029797377830751426,-0.0909863222497801,
2021-06-08,336.76,33369.13806068,106.27031462021522,66.10049297988976,0.0004753416518121778,-0.005390938826922431,
2021-06-09,336.84,37345.04492156,106.29555997349239,73.97631533611573,0.00023755790473933835,0.11914922266346895,
2021-06-10,340.35,36870.06,107.40319984852789,73.03542386280176,0.010420377627360367,-0.012718820463535896,
2021-06-11,341.24,37200.35,107.68405440373631,73.68969104185285,0.0026149551931835546,0.008958217046568517,
2021-06-14,344.51,40499.97,108.71595821894033,80.22586552288648,0.009582698394092093,0.08869862783549087,
2021-06-15,342.26,40204.51,108.00593265802014,79.64059263929194,-0.006531015064874746,-0.0072953140459116605,
2021-06-16,341.01,38290.04331722,107.61147401306448,75.84825040692103,-0.003652194238298323,-0.04761820708124542,
2021-06-17,345.34,38082.08,108.9778787591909,75.43629856792003,0.012697574851177285,-0.005431263566277322,
2021-06-18,342.63,35577.47,108.12269241692701,70.47494908920989,-0.007847338854462205,-0.06576872901900321,
2021-06-21,344.36,31606.39,108.66862318154567,62.608688199124686,0.00504917841403274,-0.11161783004806136,
