,primary,long_short,soxl
2022-05-15 04:00:00,0.9840502696958389,1.011339035564722,0.9052912405513562
2022-05-22 04:00:00,1.044786195125138,0.9952704473392748,1.123165851489551
2022-05-29 04:00:00,1.0278706074126815,0.9935497193926113,1.064028457092041
2022-06-05 04:00:00,0.9553113091393306,1.0040698783823583,0.8363717207647844
2022-06-12 04:00:00,0.8588391441571646,1.0040270807572218,0.609159626500667
2022-06-19 04:00:00,0.8875868899621868,0.9606645879015648,0.7029791018230325
2022-06-26 04:00:00,0.8012311366660182,0.9940164494156211,0.5157847932414406
2022-07-03 04:00:00,0.8568449402303373,0.9914865244021309,0.6184971098265895
2022-07-10 04:00:00,0.8941302640660639,1.0094229424505292,0.6718541574032901
2022-07-17 04:00:00,0.9575268427965458,1.0093580723016249,0.7847932414406399
2022-07-24 04:00:00,1.0105165158434228,1.0306362327155776,0.8817252112049796
2022-07-31 04:00:00,1.078654021242738,1.0874822965020836,0.9586482881280565
2022-08-07 04:00:00,1.085371593222686,1.0773608404045165,0.9604268563806133
2022-08-14 04:00:00,1.056462765237916,1.100595031855535,0.8523788350377944
2022-08-21 04:00:00,1.013358733857992,1.1156590865748504,0.7105380168963982
2022-08-28 04:00:00,0.9187585461206489,1.0990192279283295,0.5718096931969762
2022-09-04 04:00:00,0.958276697300973,1.0927116889840627,0.6514006224988882
2022-09-11 04:00:00,0.926606439906857,1.145593711992319,0.5362383281458424
2022-09-18 04:00:00,0.8694501067662188,1.1415590957867479,0.4459759893285903
2022-09-25 04:00:00,0.8718662748520616,1.1909715159202805,0.39395286794130707
2022-10-02 04:00:00,0.9078005915957199,1.2245620059062698,0.4095153401511782
2022-10-09 04:00:00,0.8182152445081002,1.1678929432242764,0.30813694975544675
2022-10-16 04:00:00,0.894402512189451,1.195316780519825,0.38150289017341027
2022-10-23 04:00:00,0.9077847698628345,1.1129609156030686,0.42240995998221414
2022-10-30 04:00:00,0.9390249344790511,1.1931710283473194,0.3997332147621163
2022-11-06 04:00:00,1.0618968863494371,1.1479721980643787,0.5878168074699864
2022-11-13 05:00:00,1.0321143191926268,1.134474961016374,0.5553579368608268
2022-11-20 05:00:00,1.0427558493717217,1.1588837127831357,0.571809693196976
2022-11-27 05:00:00,1.0543635194297576,1.1483649342234001,0.579368608270342
2022-12-04 05:00:00,1.0555863623469706,1.1984074231245332,0.5477990217874608
2022-12-11 05:00:00,1.0334314304305503,1.226915902737275,0.4939973321476208
2022-12-18 05:00:00,0.9878177653296556,1.2142525880037947,0.4344152956869717
2022-12-25 05:00:00,0.9811569042448021,1.2009100437485392,0.42996887505558
2023-01-01 05:00:00,1.0271792575013494,1.2051326645121778,0.4833259226322807
2023-01-08 05:00:00,1.0996898462438423,1.21473272029637,0.5758114717652286
2023-01-15 05:00:00,1.125027849372209,1.2486467882987597,0.5686971987550018
2023-01-22 05:00:00,1.1741903399479126,1.232799570944248,0.6660738105824807
2023-01-29 05:00:00,1.2446994459637026,1.2520860290905824,0.7527790128946193
2023-02-05 05:00:00,1.2572698053947557,1.292463933098304,0.7025344597598929
2023-02-12 05:00:00,1.2404324735106877,1.2893192965052493,0.6891951978657177
2023-02-19 05:00:00,1.244624365492529,1.338406815591219,0.6362827923521561
2023-02-26 05:00:00,1.2909691406945045,1.3662243389082016,0.6971987550022227
2023-03-05 05:00:00,1.231260134694883,1.36210642854445,0.6247220987105376
2023-03-12 05:00:00,1.2889337346954557,1.3725282327167383,0.7172076478434855
2023-03-19 04:00:00,1.306319452980654,1.3646147738484329,0.7367718986216091
2023-03-26 04:00:00,1.3430006094605818,1.3555946130348895,0.8136949755446858
2023-04-02 04:00:00,1.2739608745465991,1.361232238892677,0.6963094708759443
2023-04-09 04:00:00,1.2481595681063755,1.3306615876101264,0.692752334370831
2023-04-16 04:00:00,1.2267848236787842,1.3252789163447816,0.6607381058248105
