type,lookback,n_long,n_short,total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_weeks,key
momentum,13,5,0,5.188719290682696,0.5738136408492867,0.3804519935634043,1.5082419084594902,-0.40508388832501807,1.4165303962642144,209,momentum_lb13_L5_S0
momentum,26,5,0,5.16698409149711,0.5724365997887972,0.3970237190173507,1.4418196504873824,-0.39716420209028813,1.4413096567516528,209,momentum_lb26_L5_S0
momentum,4,3,0,5.88637471249577,0.6162006663034507,0.43368031661458484,1.4208638084238283,-0.3978775285049161,1.5487194479640916,209,momentum_lb4_L3_S0
momentum,26,8,0,4.575905279178116,0.533508279605492,0.37879669595120613,1.408429073716669,-0.3831828727041823,1.3923072183274776,209,momentum_lb26_L8_S0
momentum,13,3,0,4.942225085530977,0.5579786364221744,0.4029311089745819,1.38479909839221,-0.3908952200575311,1.4274378600486655,209,momentum_lb13_L3_S0
momentum,26,10,0,4.1371552991357845,0.5025555152975789,0.36450009452718407,1.3787527708311713,-0.40903392338259603,1.2286401850036923,209,momentum_lb26_L10_S0
momentum,13,8,0,4.09751567871149,0.4996624587864362,0.3725025498479597,1.341366546323986,-0.38875959510548597,1.2852736371712135,209,momentum_lb13_L8_S0
momentum,8,5,0,4.432141783565129,0.523574243582086,0.39802626698626187,1.3154263600400964,-0.37430799356398015,1.3987792208145615,209,momentum_lb8_L5_S0
momentum,8,3,0,4.861524342155559,0.5526871910449322,0.42231026519939246,1.3087230801363134,-0.420537300423508,1.3142405928994665,209,momentum_lb8_L3_S0
momentum,13,10,0,3.7061222511745324,0.4701484152789559,0.3632862563600923,1.294154147171868,-0.3841410024631412,1.2238954245038376,209,momentum_lb13_L10_S0
momentum,26,3,0,4.883972356723342,0.554164545242666,0.43269732699011204,1.2807209813323615,-0.48093637690908453,1.1522616542425204,209,momentum_lb26_L3_S0
momentum,8,8,0,3.7431496444619325,0.4730178657665234,0.3716693134394437,1.2726847459888357,-0.35438766712482306,1.3347469724444903,209,momentum_lb8_L8_S0
hybrid,26,5,0,4.461269604354083,0.5256027891004962,0.41599349920723916,1.2634879874376401,-0.38685838682564166,1.3586439043323288,209,hybrid_lb26_L5_S0
hybrid,26,10,0,3.786530179039443,0.4763583285085651,0.3792387978134114,1.2560907039446352,-0.362628558495082,1.3136260709456105,209,hybrid_lb26_L10_S0
hybrid,26,8,0,3.9869082423111095,0.49149951962059646,0.39304038991141266,1.250506391293209,-0.36069485386420774,1.3626463320866598,209,hybrid_lb26_L8_S0
hybrid,13,5,0,3.85890149610045,0.48188091854406756,0.38721656603813515,1.2444739218533574,-0.3561630694930371,1.352978340033899,209,hybrid_lb13_L5_S0
hybrid,13,8,0,3.379831275530419,0.4440992804834014,0.38404634046519465,1.15636899428716,-0.3528901300145516,1.2584633082968026,209,hybrid_lb13_L8_S0
hybrid,8,8,0,3.241990955455721,0.43265543948137286,0.3832039297472363,1.1290475015920507,-0.4037571181542815,1.0715735278159204,209,hybrid_lb8_L8_S0
hybrid,26,3,0,4.049718334105761,0.4961514574205921,0.443193144620495,1.1194926262802307,-0.3899707594066206,1.2722786143646667,209,hybrid_lb26_L3_S0
momentum,4,5,0,3.2666958486253437,0.4347268407679865,0.3916418514451265,1.1100111981492273,-0.4030801558315732,1.0785121382895289,209,momentum_lb4_L5_S0
hybrid,13,10,0,3.0162652789230613,0.4132966258033024,0.37429862402798714,1.1041895408421252,-0.3467779992144683,1.191819050630415,209,hybrid_lb13_L10_S0
momentum,8,10,0,2.925078757755779,0.40524402993555664,0.3696182066514693,1.0963854665245985,-0.37174053845084265,1.0901260099970085,209,momentum_lb8_L10_S0
momentum,4,8,0,2.9673608556845847,0.40899520409986945,0.3779274116706623,1.0822057132396647,-0.4185759576170015,0.9771110754385505,209,momentum_lb4_L8_S0
hybrid,8,5,0,3.494246964459335,0.4533946035565126,0.4190995207300928,1.0818304033530652,-0.403364920380319,1.124030823327478,209,hybrid_lb8_L5_S0
hybrid,13,3,0,3.297592065908616,0.43730471713023644,0.41111847624703124,1.0636951204972616,-0.3497139528344402,1.250464025200799,209,hybrid_lb13_L3_S0
mean_reversion,4,8,0,2.674780101679971,0.3823936332616844,0.3610404312290086,1.0591435201868886,-0.43845498904624347,0.872138857613395,209,mean_reversion_lb4_L8_S0
mean_reversion,4,10,0,2.5872802363021012,0.3741297155989607,0.3543811458106407,1.055726920073994,-0.4503173089848186,0.8308135355542676,209,mean_reversion_lb4_L10_S0
hybrid,8,10,0,2.793122858256968,0.393338531742335,0.3774385032050729,1.0421261434703792,-0.41347461843242295,0.9513003077034609,209,hybrid_lb8_L10_S0
