cycle,price_peak,stock_peak,stock_trough,lead_price_stock,lead_stock_rev_peak,lead_stock_rev_trough,xcorr_lead,pnl_price_signal,pnl_wait_earnings
2018-19,2018-06,2018-05,2018-12,-1,5,5,0,17.9,17.9
2021-24,2021-08,2022-01,2022-10,5,6,4,0,37.2,18.3
